Rank,Movie Title,Opening,"% of
Total",Total Gross
797,The Legend of Pig Warrior,"$3,122,187",34.6%,"$9,023,944"
798,Genghis Khan,"$3,112,710",52.2%,"$5,957,524"
799,Baby (2018),"$3,100,245",86.7%,"$3,576,269"
800,Balala the Fairies: Princess Camellia,"$3,090,000",51.9%,"$5,950,000"
801,Loli Pop In Fantasy,"$3,081,061",62.0%,"$4,971,755"
802,Dragonball Evolution,"$3,066,634",38.6%,"$7,936,392"
803,Journey to the Center of the Earth,"$3,063,413",30.9%,"$9,923,386"
804,Dragon Ball Super: Broly,"$3,059,676",67.1%,"$4,558,443"
805,A Better Tomorrow (2017),"$3,040,397",62.1%,"$4,898,009"
806,The Imitation Game,"$3,040,000",57.0%,"$5,330,000"
807,Kingsglaive: Final Fantasy XV,"$3,018,092",72.4%,"$4,169,821"
808,The Peanuts Movie,"$3,006,653",52.7%,"$5,702,428"
809,Last Flight,"$3,000,000",55.5%,"$5,410,000"
810,"10,000 Years Later","$3,000,000",100.0%,"$3,000,000"
811,The Looming Storm,"$2,996,982",73.0%,"$4,107,334"
812,Better and Better,"$2,990,000",71.5%,"$4,180,000"
813,Sultan,"$2,986,343",56.8%,"$5,259,463"
814,The Warriors (2016),"$2,980,471",62.7%,"$4,754,904"
815,The House of Magic,"$2,980,000",41.3%,"$7,220,000"
816,The Snow Queen 2,"$2,963,729",57.7%,"$5,133,353"
817,Thieves (2011),"$2,950,000",100.0%,"$2,950,000"
818,A Dog's Way Home,"$2,932,746",54.7%,"$5,364,516"
819,Kuiba 2,"$2,930,000",88.0%,"$3,330,000"
820,The Rookies,"$2,924,791",90.0%,"$3,251,421"
821,Lost in Love,"$2,924,495",83.7%,"$3,493,631"
822,Bloody Doll,"$2,920,000",78.1%,"$3,740,000"
823,Whisper of Silent Body,"$2,919,775",67.9%,"$4,303,111"
824,Kuiba III,"$2,880,000",76.4%,"$3,770,000"
825,Perfetti sconosciuti,"$2,870,441",35.6%,"$8,060,716"
826,The Outback,"$2,860,000",62.2%,"$4,600,000"
827,Man of Tai Chi,"$2,850,000",66.6%,"$4,280,000"
828,Chibimruko Chan Itaria Kara Kita Shonen (Chibimaruko Chan The Boy From Italy),"$2,840,660",73.9%,"$3,844,017"
829,Kung Fu Hustle (2015),"$2,830,000",71.3%,"$3,970,000"
830,The Trough,"$2,827,011",51.8%,"$5,455,826"
831,Dr. Seuss' The Grinch (2018),"$2,811,309",71.9%,"$3,907,985"
832,Self/Less,"$2,808,261",52.0%,"$5,400,980"
833,Stolen (2012),"$2,800,000",40.6%,"$6,900,000"
834,The Knight of Shadows: Between Yin and Yang,"$2,795,437",12.3%,"$22,687,179"
835,Xuan Zang,"$2,790,090",55.5%,"$5,023,106"
836,Wrath of Silence,"$2,775,150",32.6%,"$8,512,220"
837,Color of the Game,"$2,774,289",55.2%,"$5,029,820"
838,Everybody's Fine (2016),"$2,767,450",72.7%,"$3,805,627"
839,Tea Pets,"$2,767,449",60.8%,"$4,552,351"
840,Free Solo,"$2,764,474",56.1%,"$4,928,415"
841,Peppa Celebrates Chinese New Year,"$2,733,125",14.8%,"$18,521,815"
842,Proud of Me,"$2,701,197",39.4%,"$6,849,959"
843,Dredd,"$2,690,000",60.2%,"$4,470,000"
844,My Little Pony (2017),"$2,689,230",36.5%,"$7,360,380"
845,Cinderella 3D (2018),"$2,687,165",31.1%,"$8,637,069"
846,Jiang shan mei ren (An Empress and the Warriors),"$2,668,577",43.4%,"$6,147,279"
847,Miracles of the Namiya General Store,"$2,657,313",58.7%,"$4,527,709"
848,Night at the Museum,"$2,641,685",31.8%,"$8,319,134"
849,Searching,"$2,638,601",59.6%,"$4,425,625"
850,Monkey Magic (2018),"$2,634,321",48.3%,"$5,458,219"
851,Midnight Diner (2019),"$2,633,997",77.6%,"$3,394,216"
852,Happy Death Day,"$2,628,857",27.3%,"$9,645,728"
853,Throne of Elves,"$2,615,900",70.0%,"$3,736,946"
854,Happy Heroes 2 Qiyuan Planet Wars,"$2,610,000",62.0%,"$4,210,000"
855,What A Wonderful Family (Ma fan jia zu),"$2,605,348",68.0%,"$3,831,089"
856,Ice (Lyod),"$2,596,925",95.9%,"$2,707,590"
857,Unexpected Love (2014),"$2,590,000",78.5%,"$3,300,000"
858,That's A Crazy Little Thing Called Love,"$2,588,390",47.4%,"$5,459,981"
859,Aut?mata,"$2,580,000",77.7%,"$3,320,000"
860,Young Style,"$2,570,000",54.4%,"$4,720,000"
861,Magic Mirror 2,"$2,563,890",81.1%,"$3,161,317"
862,The Mortal Instruments: City of Bones,"$2,560,000",60.1%,"$4,260,000"
863,Dear Tutu,"$2,557,675",39.8%,"$6,425,179"
864,Niu Qi Chong Tian,"$2,555,864",23.1%,"$11,043,191"
865,The Nut Job,"$2,530,000",51.0%,"$4,960,000"
866,Dvizhenie Vverh,"$2,522,489",19.1%,"$13,219,388"
867,Our Shining Days,"$2,520,919",25.3%,"$9,949,926"
868,Pele: Birth of a Legend,"$2,517,037",61.2%,"$4,110,791"
869,Mountains May Depart,"$2,514,841",59.1%,"$4,253,776"
870,Hallo Babies,"$2,510,000",19.2%,"$13,040,000"
871,Sabotage (2014),"$2,500,000",65.8%,"$3,800,000"
872,Mr. Highheels,"$2,489,930",12.4%,"$20,003,919"
873,Warrior's Gate,"$2,471,488",75.4%,"$3,279,810"
874,The Dragon Pearl,"$2,467,443",50.7%,"$4,870,229"
875,Happy Little Submarine: Space Pals,"$2,458,595",70.9%,"$3,468,486"
876,Kubo and the Two Strings,"$2,457,793",38.6%,"$6,372,757"
878,Redemption (2013),"$2,450,000",47.2%,"$5,190,000"
877,Fly Me to the Moon,"$2,450,000",49.7%,"$4,930,000"
879,Hotel Deluxe,"$2,440,000",27.2%,"$8,960,000"
880,Mafia: Survival Game,"$2,435,400",78.6%,"$3,097,754"
881,Madagascar: Escape 2 Africa,"$2,425,837",46.0%,"$5,278,943"
882,Kureyon shinchan: Bakusui! Yumemi-W?rudo Daitotsugeki!,"$2,416,784",74.6%,"$3,241,603"
883,Unbroken,"$2,400,000",44.4%,"$5,400,000"
884,The Reef 2: High Tide,"$2,390,000",100.0%,"$2,390,000"
885,The November Man,"$2,388,460",52.8%,"$4,521,480"
886,The Son of Bigfoot,"$2,382,394",28.1%,"$8,473,259"
887,The Legend of Hercules,"$2,370,000",60.5%,"$3,920,000"
888,"Three Billboards Outside Ebbing, Missouri","$2,366,155",23.1%,"$10,259,207"
889,2.0,"$2,360,379",128.2%,"$1,841,318"
890,Flying Colours (Birigyaru),"$2,347,264",40.7%,"$5,773,743"
891,Where's the Dragon?,"$2,340,000",60.8%,"$3,847,928"
892,Solace,"$2,313,689",43.1%,"$5,374,145"
893,Pok?mon The Movie: Volcanion And The Mechanical Marvel,"$2,302,218",59.7%,"$3,857,383"
894,Ace in the Hole,"$2,300,000",100.0%,"$2,300,000"
895,Quackerz,"$2,293,320",72.9%,"$3,146,337"
896,Bad Daddy,"$2,292,772",60.5%,"$3,791,880"
897,The LEGO Movie 2: The Second Part,"$2,290,465",84.8%,"$2,700,000"
898,Killers,"$2,290,076",100.0%,"$2,290,076"
899,Slumdog Millionaire,"$2,280,068",100.0%,"$2,280,068"
900,The Unbearable Lightness of Inspector Fan,"$2,280,000",61.0%,"$3,740,000"
901,My War,"$2,273,887",42.8%,"$5,316,684"
903,Death is Here 3,"$2,270,000",41.5%,"$5,470,000"
902,Mayday Nowhere 3D,"$2,270,000",75.2%,"$3,020,000"
904,GG Bond: Guarding,"$2,265,002",33.2%,"$6,821,075"
905,Born in China,"$2,261,644",22.9%,"$9,880,653"
906,The Game Changer,"$2,259,054",15.2%,"$14,875,966"
907,Alvin and the Chipmunks The Road Chip,"$2,244,166",23.4%,"$9,582,624"
908,Guardians (Zashchitniki),"$2,242,745",77.9%,"$2,877,806"
909,Crimes of Passion (2013),"$2,230,000",63.2%,"$3,530,000"
910,Over Again,"$2,210,116",81.3%,"$2,718,620"
911,Baby Blues (2013),"$2,210,000",77.5%,"$2,850,000"
912,Change of Gangsters,"$2,197,249",91.0%,"$2,415,054"
913,Perfect Couple,"$2,191,345",59.8%,"$3,667,477"
914,Ip Man,"$2,188,982",15.9%,"$13,728,640"
915,Colombiana,"$2,180,000",27.1%,"$8,050,000"
916,Christmas Rose,"$2,170,000",64.2%,"$3,380,000"
917,Einstein & Einstein,"$2,151,594",28.9%,"$7,448,509"
918,Our Happiness,"$2,146,245",78.0%,"$2,750,684"
919,D-War (Dragon Wars),"$2,142,092",49.0%,"$4,370,573"
920,You Wan Mei Wan,"$2,140,986",39.4%,"$5,428,592"
921,Tie saam gok (Triangle),"$2,128,792",58.9%,"$3,616,637"
922,Darkest Hour,"$2,126,642",36.5%,"$5,820,893"
923,Ai qing hu jiao zhuan yi II: Ai qing zuo you (Fit Lover),"$2,121,154",44.2%,"$4,800,559"
924,Happy Heroes,"$2,120,000",39.2%,"$5,410,000"
925,Myeong-ryang (Roaring Currents),"$2,120,000",53.3%,"$3,980,000"
926,Tao hua yun (Desires of the Heart),"$2,119,109",47.0%,"$4,509,616"
927,The 33,"$2,118,438",61.4%,"$3,449,490"
928,The New Year's Eve of Old Lee,"$2,114,100",26.2%,"$8,072,889"
929,Legend of the Guardians: The Owls of Ga'Hoole,"$2,112,187",45.2%,"$4,670,433"
930,Bu neng shuo de. mi mi (Secret),"$2,111,932",47.9%,"$4,407,852"
931,77 Heartbreaks,"$2,111,547",19.1%,"$11,077,852"
932,Wall Street: Money Never Sleeps,"$2,111,295",29.5%,"$7,147,135"
933,Farm House 81 II,"$2,110,000",100.0%,"$2,110,000"
934,Didi's Dreams,"$2,103,814",52.4%,"$4,013,033"
935,Mortdecai,"$2,100,000",59.5%,"$3,530,000"
936,Qiaohu and the Fantastic Flying Ship,"$2,083,838",63.7%,"$3,271,553"
937,Miss Puff,"$2,081,911",68.8%,"$3,026,917"
938,Buddy Cops,"$2,079,740",45.0%,"$4,622,802"
939,Kaabil,"$2,071,290",40.6%,"$5,097,469"
940,Adventure of the King,"$2,064,653",47.6%,"$4,333,935"
941,Journey to China: The Mystery of Iron Mask (Viy 2),"$2,052,195",79.9%,"$2,567,112"
942,Midas Touch,"$2,050,000",52.6%,"$3,900,000"
943,Yi ge shao zi (A Fool),"$2,040,784",99.1%,"$2,059,608"
944,Grace of Monaco,"$2,020,000",49.5%,"$4,080,000"
945,Tarzan (2013),"$2,010,000",66.8%,"$3,010,000"
946,Chang Chen Ghost Stories,"$2,010,000",310.3%,"$647,762"
947,American Ultra,"$2,001,789",66.5%,"$3,010,322"
948,Remain Silent,"$2,001,381",66.6%,"$3,004,005"
949,Love Me Love My Dog,"$2,000,000",100.0%,"$2,000,000"
950,"The Butcher, the Chef and the Swordsman","$1,981,889",99.9%,"$1,984,733"
951,Delete Lovers,"$1,980,000",52.7%,"$3,760,000"
952,The Snow Queen: Mirrorlands,"$1,973,431",59.3%,"$3,328,960"
953,Patriots Day,"$1,970,317",62.1%,"$3,172,378"
954,Bugs (2014),"$1,970,000",58.5%,"$3,370,000"
955,Thomas & Friends: Big World! Big Adventures! The Movie,"$1,966,300",80.6%,"$2,438,836"
956,Xin DaTou Er Zi He Xiao Tou Ba Ba Zhi Mi Mi Ji Hua,"$1,950,000",31.0%,"$6,290,000"
957,Death Wish (2018),"$1,936,533",59.6%,"$3,250,029"
958,Les nouvelles aventures d'Aladin,"$1,931,620",78.6%,"$2,456,308"
959,"Beijing, New York","$1,930,000",66.8%,"$2,890,000"
960,Twins (2019),"$1,929,242",77.0%,"$2,504,008"
961,The Chinese Widow,"$1,928,669",43.4%,"$4,447,734"
963,Magic Wonderland,"$1,920,000",62.7%,"$3,060,000"
962,A Chilling Cosplay,"$1,920,000",100.0%,"$1,920,000"
964,The 7th Dwarf,"$1,908,910",50.1%,"$3,806,937"
965,Angels Wear White,"$1,907,162",56.5%,"$3,375,245"
966,Neui yan fau pui (All About Women),"$1,897,118",56.9%,"$3,331,872"
967,Wine Wars,"$1,882,077",81.1%,"$2,321,975"
968,The Queens,"$1,880,000",76.4%,"$2,460,000"
969,Night of Adventure,"$1,870,000",44.1%,"$4,240,000"
970,On the Way (2014),"$1,860,000",57.8%,"$3,220,000"
971,The Wrath of Vajra,"$1,850,000",98.9%,"$1,870,000"
972,Push and Shove,"$1,849,930",68.4%,"$2,704,326"
973,The Blood Hound,"$1,844,494",50.4%,"$3,660,871"
974,Bullet to the Head,"$1,840,000",100.0%,"$1,840,000"
975,Battle of Xiangjiang,"$1,830,494",16.6%,"$11,037,772"
976,A Home With a View,"$1,830,227",38.0%,"$4,815,816"
977,Seer Movie 7: Crazy Intelligence,"$1,822,059",46.5%,"$3,919,838"
978,Paris Holiday,"$1,820,000",99.5%,"$1,830,000"
979,Really?,"$1,817,337",64.6%,"$2,814,977"
980,Speed Racer,"$1,816,808",57.0%,"$3,184,713"
981,Next Gen,"$1,816,669",76.3%,"$2,379,961"
982,Don Quixote,"$1,809,682",35.4%,"$5,115,844"
983,Salyut-7,"$1,807,151",67.7%,"$2,668,486"
984,Kung Fu League,"$1,804,810",70.0%,"$2,577,213"
985,Mix (2017),"$1,804,133",61.2%,"$2,946,092"
987,Brave Rabbit 2: Crazy Circus,"$1,790,000",61.7%,"$2,900,000"
986,Broadcasting Girl,"$1,790,000",100.0%,"$1,790,000"
989,Amazonia,"$1,780,000",76.1%,"$2,340,000"
988,Bends,"$1,780,000",79.5%,"$2,240,000"
990,Collide,"$1,771,177",79.7%,"$2,221,106"
991,Forever Love,"$1,770,000",87.2%,"$2,030,000"
992,Rush (2013),"$1,756,860",99.9%,"$1,758,414"
993,"Minuscule - La vall?e des fourmis perdues (Minuscule, Valley of the Lost Ants)","$1,750,000",41.9%,"$4,180,000"
994,Integrity,"$1,748,558",10.4%,"$16,863,262"
995,Viking,"$1,745,946",82.5%,"$2,116,918"
996,T-Guardians,"$1,745,040",36.6%,"$4,763,197"
997,Little Big Master,"$1,740,000",54.7%,"$3,180,000"
998,Ghost Rider,"$1,734,911",46.1%,"$3,759,994"
999,Midnight Beating,"$1,732,580",36.6%,"$4,731,045"
1000,The Titan,"$1,723,808",84.0%,"$2,051,835"
1001,Sex Appeal,"$1,720,000",67.2%,"$2,560,000"
1002,Return to the Wolves,"$1,709,948",35.0%,"$4,886,088"
1003,The Sexy Guys,"$1,707,321",79.5%,"$2,148,689"
1004,Home Alone (2016),"$1,707,316",75.1%,"$2,273,682"
1005,Love You for Loving Me,"$1,700,000",35.5%,"$4,790,000"
1006,Lotus Code,"$1,700,000",51.5%,"$3,300,000"
1007,The Ladybug (Jin Gui Zi),"$1,699,530",39.4%,"$4,311,604"
1008,Dragon Force - Rise of Ultraman,"$1,695,159",29.5%,"$5,755,641"
1009,Seventy-Seven Days,"$1,690,857",10.6%,"$15,988,889"
1010,Thomas & Friends: The Great Race,"$1,681,932",52.3%,"$3,216,328"
1011,The Queen's Corgi,"$1,680,458",77.7%,"$2,161,616"
1013,Enchanted Mirror Romance,"$1,680,000",76.0%,"$2,210,000"
1012,The Three Pigs and the Lamp,"$1,680,000",84.8%,"$1,980,000"
1014,I Love Hong Kong,"$1,679,774",40.1%,"$4,189,608"
1015,Shou Wang Zhe (The Man Behind the Courtyard House),"$1,679,389",100.0%,"$1,679,389"
1016,Creed II,"$1,676,119",67.0%,"$2,500,000"
1017,Le grand m?chant renard et autres contes (Big Bad Fox),"$1,674,418",65.4%,"$2,562,072"
1018,La guerre des tuques (Snowtime!),"$1,668,211",26.6%,"$6,272,750"
1019,Ballerina,"$1,667,375",28.9%,"$5,770,423"
1020,Cats and Peachtopia,"$1,658,338",48.4%,"$3,424,207"
1023,Goodbye Mr. Loser,"$1,650,000",0.7%,"$226,161,196"
1022,The Beloved,"$1,650,000",53.7%,"$3,070,000"
1021,La belle et la b?te,"$1,650,000",66.3%,"$2,490,000"
1024,August 8th,"$1,640,000",64.1%,"$2,560,000"
1025,The Mysteries Family,"$1,630,128",75.6%,"$2,155,017"
1026,The Strange House,"$1,630,000",100.0%,"$1,630,000"
1027,Blood Father,"$1,622,283",78.8%,"$2,057,916"
1028,One Foundation,"$1,619,870",36.2%,"$4,474,576"
1029,Robinson Crusoe (2016),"$1,609,116",20.4%,"$7,901,120"
1030,The House With A Clock In Its Walls,"$1,598,488",58.7%,"$2,722,512"
1031,Someone to Talk To (Yi ju ding yi wan ju),"$1,591,963",53.1%,"$2,998,054"
1032,Maquia: When The Promised Flower Blooms,"$1,591,879",62.4%,"$2,551,388"
1035,The Fox Lover,"$1,590,000",32.0%,"$4,970,000"
1033,Lift to Hell,"$1,590,000",52.5%,"$3,030,000"
1034,I Love Hong Kong 2013,"$1,590,000",100.0%,"$1,590,000"
1036,Love Speaks,"$1,580,000",42.4%,"$3,730,000"
1037,Beautiful Accident,"$1,576,564",61.5%,"$2,565,310"
1038,The War of Loong,"$1,571,728",16.1%,"$9,782,949"
1039,Earth: One Amazing Day,"$1,571,107",21.9%,"$7,181,262"
1040,Monkey King: Hero Is Back,"$1,570,000",1.0%,"$153,020,000"
1041,A Monster Calls,"$1,552,215",73.6%,"$2,109,658"
1042,Django Unchained,"$1,550,000",58.5%,"$2,650,000"
1043,Aberdeen (2014),"$1,550,000",70.1%,"$2,210,000"
1044,Paths of the Soul,"$1,545,417",10.0%,"$15,409,276"
1045,Bolt,"$1,530,947",23.3%,"$6,578,259"
1046,Bai Xue Gong Zhu Zhi Ai Ren Li Liang (Snow White: The Mysterious Father),"$1,530,000",55.0%,"$2,780,000"
1047,Love is a Broadway Hit,"$1,526,187",75.5%,"$2,022,609"
1048,Deep,"$1,525,674",59.5%,"$2,564,043"
1049,Minuscule - Mandibles From Far Away,"$1,525,636",66.1%,"$2,307,281"
1050,Tian tang kou (Blood Brothers),"$1,516,108",38.4%,"$3,944,291"
1051,S.M.A.R.T. Chase,"$1,508,042",57.2%,"$2,637,520"
1052,Revenge for Love,"$1,491,400",16.1%,"$9,242,543"
1053,Dragon Force: So Long Ultraman,"$1,491,252",24.4%,"$6,120,728"
1054,A Tale of Three Cities,"$1,490,000",98.0%,"$1,520,000"
1055,Ulterior Motive,"$1,490,000",100.0%,"$1,490,000"
1056,Peacekeeping Force,"$1,484,939",57.4%,"$2,585,854"
1057,Fist & Faith,"$1,484,923",33.5%,"$4,433,919"
1058,Mysterious Face,"$1,470,000",39.0%,"$3,770,000"
1059,All You Need is Love (2015),"$1,470,000",100.0%,"$1,470,000"
1060,MT / Warrior VS Dragon,"$1,459,505",80.3%,"$1,817,380"
1061,Daai sau cha ji neui (Lady Cop & Papa Crook),"$1,458,045",56.7%,"$2,571,032"
1062,Axel: Adventures of the Spacekids,"$1,457,762",19.2%,"$7,611,990"
1063,Dou fo sin (Flash Point),"$1,451,954",35.5%,"$4,090,789"
1064,American Hustle,"$1,440,000",51.2%,"$2,810,000"
1065,The Insanity,"$1,437,567",65.4%,"$2,197,630"
1066,"No Game, No Life the Movie: Zero","$1,436,742",72.9%,"$1,969,797"
1067,Love the Way You Are,"$1,434,593",67.2%,"$2,135,619"
1068,Kidnapping Mr. Heineken,"$1,425,703",99.6%,"$1,430,721"
1069,Deja Vu,"$1,420,161",37.4%,"$3,800,000"
1070,Crazy Little Things,"$1,413,019",76.9%,"$1,838,382"
1071,Dino King,"$1,411,273",34.2%,"$4,129,689"
1072,Zambezia,"$1,410,000",100.0%,"$1,410,000"
1073,Once Again,"$1,406,288",35.5%,"$3,957,193"
1074,This is Me,"$1,404,821",95.1%,"$1,477,105"
1075,Oi dut hei (Give Love),"$1,386,922",50.3%,"$2,758,816"
1078,The Haunted Cinema,"$1,380,000",72.6%,"$1,900,000"
1076,Justin and the Knights of Valour,"$1,380,000",100.0%,"$1,380,000"
1077,Die Xian Gui Tan,"$1,380,000",100.0%,"$1,380,000"
1079,Thomas & Friends: Sodor's Legend of the Lost Treasure,"$1,376,197",54.8%,"$2,510,062"
1080,Genius,"$1,368,084",63.9%,"$2,141,293"
1081,Forever Love (2015),"$1,363,858",30.8%,"$4,428,450"
1082,Conspirators,"$1,360,000",38.0%,"$3,580,000"
1083,Eragon,"$1,357,168",30.9%,"$4,392,922"
1084,Dhoom 3,"$1,350,000",45.5%,"$2,970,000"
1085,Live Free or Die Hard,"$1,345,261",33.8%,"$3,979,257"
1086,Dragon Ball Z: Resurrection 'F',"$1,345,131",83.7%,"$1,607,680"
1087,Trouble Makers,"$1,344,125",74.4%,"$1,806,679"
1088,Hing dai (Brothers),"$1,339,495",34.7%,"$3,860,900"
1089,Absurd Accident,"$1,336,952",70.1%,"$1,905,999"
1090,NUTS (2018),"$1,333,111",27.9%,"$4,778,869"
1091,Nan er ben se (Invisible Target),"$1,320,638",29.5%,"$4,482,709"
1092,Alone in the Dark,"$1,316,425",58.5%,"$2,250,837"
1093,Hai jiao qi hao (Cape No. 7),"$1,313,926",45.2%,"$2,909,204"
1094,Les Deux mondes,"$1,313,869",35.4%,"$3,712,419"
1095,Shi Quan Jiu Mei (Almost Perfect),"$1,313,389",19.2%,"$6,855,809"
1096,The Island (2010),"$1,312,019",60.3%,"$2,177,406"
1097,Next,"$1,307,152",56.6%,"$2,308,086"
1098,The Last Days (2014),"$1,290,000",100.0%,"$1,290,000"
1099,Killing for the Prosecution,"$1,286,240",62.3%,"$2,063,306"
1100,The Golden Compass,"$1,281,650",26.0%,"$4,928,803"
1101,Heidi (2015),"$1,277,989",42.6%,"$2,999,491"
1102,"Bruce Lee, My Brother","$1,276,828",62.2%,"$2,052,220"
1103,Song of the Sea,"$1,265,978",57.4%,"$2,205,810"
1104,Distance (2016),"$1,262,610",74.2%,"$1,701,658"
1105,Ai chu se (Color Me Love),"$1,237,138",63.4%,"$1,952,796"
1106,Gam-si-ja-deul (Cold Eyes),"$1,230,000",100.0%,"$1,230,000"
1107,Five Minutes to Tomorrow,"$1,230,000",100.0%,"$1,230,000"
1108,Saving Mr. Wu,"$1,220,000",4.0%,"$30,350,000"
1109,Blood of Youth,"$1,216,318",52.8%,"$2,302,688"
1110,"Sekai no ch?shin de, ai o sakebu (Crying Out Love, in the Center of the World)","$1,214,943",98.1%,"$1,238,018"
1111,House of Wolves,"$1,214,247",29.3%,"$4,141,129"
1112,Butterfly on a Wheel,"$1,207,835",55.1%,"$2,191,156"
1113,Show Dogs,"$1,207,646",55.5%,"$2,177,428"
1114,McDull: Rise of the Rice Cooker,"$1,196,651",42.2%,"$2,838,514"
1115,Send Me to the Clouds,"$1,191,969",28.9%,"$4,127,417"
1116,Inference Notes,"$1,191,130",77.4%,"$1,538,866"
1117,24 Hours to Live,"$1,190,794",79.0%,"$1,506,529"
1118,Pup Star,"$1,186,130",77.0%,"$1,540,986"
1119,Kod apokalipsisa (Apocalypse Code),"$1,185,054",57.9%,"$2,044,984"
1120,Fall in Love,"$1,180,000",64.5%,"$1,830,000"
1121,Ip Man: The Final Fight,"$1,180,000",69.4%,"$1,700,000"
1122,Hirugao: Love Affairs in the Afternoon,"$1,179,875",53.0%,"$2,225,294"
1123,Brothers (2016),"$1,175,298",82.5%,"$1,424,520"
1124,Ai dao di (L-O-V-E),"$1,169,956",100.0%,"$1,169,956"
1125,Ashes of Time Redux,"$1,169,266",100.0%,"$1,169,266"
1126,Battle for Terra,"$1,169,117",57.8%,"$2,021,665"
1127,Mortal Ouija,"$1,162,364",15.5%,"$7,489,619"
1128,My Sassy Girl 2,"$1,158,588",41.7%,"$2,776,022"
1129,Sam hoi tsam yan (Missing),"$1,157,257",34.7%,"$3,330,558"
1130,Adrift,"$1,152,234",71.6%,"$1,609,857"
1131,Allied,"$1,148,619",26.5%,"$4,330,432"
1132,Ooops! Noah Is Gone,"$1,148,175",62.7%,"$1,830,151"
1133,The Space Between Us,"$1,146,179",79.7%,"$1,437,867"
1134,Crazy Rich Asians,"$1,143,179",69.3%,"$1,650,573"
1135,Lord of Shanghai,"$1,142,766",57.7%,"$1,979,066"
1136,Yuen fan (Behind the Yellow Line),"$1,140,953",55.1%,"$2,069,000"
1137,Deng yi ge ren ka fei (Caf?. Waiting. Love),"$1,140,000",100.0%,"$1,140,000"
1138,Aura Star: Attack of the Temple,"$1,130,000",100.0%,"$1,130,000"
1139,Reborn,"$1,128,343",79.6%,"$1,418,283"
1140,Blood-Soaked Guangchang,"$1,119,481",7.6%,"$14,651,659"
1141,Lion,"$1,108,329",43.7%,"$2,534,618"
1142,Predestination,"$1,100,000",60.1%,"$1,830,000"
1143,Love Contractually,"$1,098,493",12.8%,"$8,613,029"
1144,Let's Steal Together,"$1,095,333",65.3%,"$1,676,554"
1146,Metro (2013),"$1,090,000",46.6%,"$2,340,000"
1145,Kunta,"$1,090,000",47.6%,"$2,290,000"
1147,Untold Body,"$1,087,430",46.5%,"$2,340,262"
1148,Savage,"$1,085,370",26.7%,"$4,066,011"
1149,Inside the Girls,"$1,080,000",58.1%,"$1,860,000"
1150,Fool's Gold,"$1,078,749",57.4%,"$1,880,542"
1151,The Bourne Ultimatum,"$1,076,209",35.6%,"$3,026,471"
1152,Special Encounter,"$1,072,171",74.3%,"$1,443,658"
1153,All the Money in the World,"$1,068,806",61.1%,"$1,749,683"
1154,Alpha and Omega,"$1,066,446",60.3%,"$1,768,562"
1155,China Salesman (Zhong Guo Tui Xiao Yuan),"$1,051,597",64.2%,"$1,637,776"
1156,Nerve,"$1,043,991",60.7%,"$1,719,814"
1157,Uncle Drew,"$1,035,679",58.0%,"$1,786,702"
1158,The Boy (2016),"$1,034,348",40.6%,"$2,545,897"
1159,Sherlock Gnomes,"$1,032,202",68.2%,"$1,513,341"
1160,Wukong's Christmas Adventure,"$1,030,941",37.5%,"$2,747,719"
1161,Jobs,"$1,030,000",100.0%,"$1,030,000"
1162,Xiaoming and His Friends,"$1,029,046",597.2%,"$172,299"
1163,Eye in the Sky,"$1,028,143",40.7%,"$2,523,370"
1164,Storm Rider - Clash of Evils,"$1,025,130",23.4%,"$4,382,825"
1165,Soccer Killer,"$1,023,817",71.1%,"$1,440,968"
1166,La Historia Du Un Amor,"$1,021,734",54.1%,"$1,890,232"
1167,Death Ouija 2,"$1,018,815",54.9%,"$1,854,170"
1168,Born To Be Wild: The Graduation Trip,"$1,017,794",71.1%,"$1,431,283"
1169,TMNT,"$1,015,757",21.1%,"$4,819,908"
1170,Love Education,"$1,013,933",36.9%,"$2,749,490"
1171,Shed Skin Papa,"$1,012,175",80.0%,"$1,264,734"
1172,The Silence (2018),"$1,004,555",72.4%,"$1,387,130"
1173,Frog Prince Adventures,"$1,001,461",68.8%,"$1,456,558"
1174,Barkley,"$999,416",51.9%,"$1,926,435"
1175,Foolish Plans,"$996,965",61.7%,"$1,616,270"
1176,My Pet Dinosaur,"$992,571",74.4%,"$1,334,897"
1177,Les As de la Jungle - Operation banquise (The Jungle Bunch: The Movie),"$988,508",72.0%,"$1,372,868"
1178,Lost in Panic Room,"$987,754",31.2%,"$3,168,281"
1179,Dr?les de petites b?tes,"$985,873",8.6%,"$11,422,395"
1180,Hua hua xing jing (Playboy Cops),"$982,884",51.9%,"$1,893,993"
1181,Absolutely Anything,"$977,712",79.0%,"$1,237,747"
1182,Desire Game,"$977,147",88.3%,"$1,106,083"
1183,A Busy Night,"$975,575",99.8%,"$977,392"
1184,"New York, New York (2016)","$971,064",67.1%,"$1,446,261"
1185,Mobile Suit Gundam Narrative,"$967,300",78.6%,"$1,230,831"
1186,Flood (2007),"$950,401",15.5%,"$6,126,825"
1187,Hellboy II: The Golden Army,"$949,945",40.1%,"$2,366,875"
1188,Li mi de cai xiang (The Equation of Love and Death),"$948,213",50.7%,"$1,869,732"
1189,Jing wu men (Kung Fu Hip Hop),"$945,895",43.8%,"$2,161,941"
1191,Survivor,"$940,000",69.1%,"$1,360,000"
1192,Romance Out of the Blue,"$940,000",100.0%,"$940,000"
